Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Label
2025-05-07 21:17:17,159.65.46.156,167.239.104.209,UDP,6462,32828,6037,23,34,262,688,BENIGN
2025-05-07 21:17:18,193.122.56.254,104.214.227.102,ICMP,36591,41296,5085,16,38,558,1116,BENIGN
2025-05-07 21:17:19,32.13.58.180,238.246.52.5,UDP,45428,39324,2067,47,83,1443,573,BruteForce
2025-05-07 21:17:20,151.121.7.129,136.172.181.205,TCP,18135,41244,518,10,40,720,1198,BENIGN
2025-05-07 21:17:21,189.101.173.246,224.229.194.181,UDP,11376,31942,7584,25,34,660,1118,BENIGN
2025-05-07 21:17:22,213.2.144.225,214.97.245.188,ICMP,31580,20449,9617,66,60,1231,164,BENIGN
2025-05-07 21:17:23,212.112.30.229,39.33.182.58,TCP,38037,48219,4647,32,8,1420,70,BENIGN
2025-05-07 21:17:24,17.21.22.73,152.16.144.188,UDP,7561,45468,6479,75,59,1425,979,BENIGN
2025-05-07 21:17:25,28.219.64.51,62.33.252.140,UDP,18707,60865,3805,37,57,828,412,DoS
2025-05-07 21:17:26,29.135.74.207,81.205.79.108,TCP,22455,16743,5314,16,59,1347,1109,BENIGN
2025-05-07 21:17:27,30.165.72.97,171.72.147.17,ICMP,33216,40480,2195,14,29,440,928,BENIGN
2025-05-07 21:17:28,112.107.132.120,179.132.79.141,TCP,35706,56148,2557,95,14,1061,1337,BENIGN
2025-05-07 21:17:29,124.53.22.178,44.19.245.114,ICMP,7483,35020,5354,11,14,754,669,BENIGN
2025-05-07 21:17:30,85.101.203.20,215.121.56.168,TCP,59700,7998,6061,20,63,221,499,DDoS
2025-05-07 21:17:31,102.71.254.97,119.23.112.195,TCP,9736,23694,6543,95,26,420,241,BENIGN
2025-05-07 21:17:32,82.162.4.33,223.224.253.150,ICMP,21216,5282,6061,2,55,946,824,PortScan
2025-05-07 21:17:33,173.40.195.86,217.136.154.216,ICMP,45092,13927,2609,36,96,818,178,BENIGN
2025-05-07 21:17:34,230.152.60.85,255.202.81.70,TCP,2422,2623,6540,22,63,424,1355,BENIGN
2025-05-07 21:17:35,76.147.131.225,151.238.84.122,ICMP,43300,34596,3136,27,86,707,323,DDoS
2025-05-07 21:17:36,63.176.29.213,246.93.30.208,UDP,5300,16773,6433,72,51,643,581,BENIGN
2025-05-07 21:17:37,153.188.12.121,26.71.91.10,UDP,38203,29553,7162,50,85,1265,383,BruteForce
2025-05-07 21:17:38,93.14.56.41,71.93.108.67,UDP,41454,8786,6810,92,74,491,213,DoS
2025-05-07 21:17:39,118.154.247.170,225.189.148.121,ICMP,46555,22127,6101,50,63,986,1312,BENIGN
2025-05-07 21:17:40,223.104.183.125,22.73.230.3,TCP,16974,14002,8767,44,91,315,1050,BENIGN
2025-05-07 21:17:41,168.212.102.83,88.121.37.88,UDP,47424,50971,6051,26,97,897,1137,BENIGN
2025-05-07 21:17:42,190.240.235.248,196.35.104.128,TCP,51617,37281,8345,22,55,631,239,BENIGN
2025-05-07 21:17:43,181.69.242.215,239.21.154.137,UDP,33065,62156,9707,72,54,1024,552,BENIGN
2025-05-07 21:17:44,160.223.40.150,143.223.27.53,ICMP,9846,26783,9632,25,12,557,585,PortScan
2025-05-07 21:17:45,57.230.78.120,61.121.23.202,UDP,32924,64464,272,88,48,1114,888,BENIGN
2025-05-07 21:17:46,148.229.155.252,43.121.143.127,TCP,29151,17261,7950,88,58,963,1339,BENIGN
2025-05-07 21:17:47,7.49.40.248,9.75.26.158,TCP,23121,382,7716,47,34,948,1262,BruteForce
2025-05-07 21:17:48,206.125.189.64,95.140.174.143,TCP,30533,35312,9621,92,21,1244,665,BENIGN
2025-05-07 21:17:49,47.41.236.174,171.102.110.247,TCP,48192,35710,9017,60,22,772,1240,BENIGN
2025-05-07 21:17:50,229.126.136.193,67.153.97.122,UDP,59766,60488,9773,38,54,985,572,BENIGN
2025-05-07 21:17:51,101.98.122.167,246.62.18.6,TCP,13080,38955,2072,70,81,1161,206,BENIGN
2025-05-07 21:17:52,239.20.72.246,99.124.46.246,TCP,52094,36910,6531,98,95,84,682,BENIGN
2025-05-07 21:17:53,184.54.61.128,248.37.68.103,TCP,53332,36039,5761,17,48,761,1373,BENIGN
2025-05-07 21:17:54,79.81.71.205,246.2.171.161,ICMP,38363,1840,4995,8,66,969,808,BENIGN
2025-05-07 21:17:55,142.242.213.91,232.25.244.115,TCP,61904,15503,8567,23,94,1304,574,BENIGN
2025-05-07 21:17:56,64.189.167.118,53.48.132.153,UDP,50821,22004,4073,76,10,236,1387,BENIGN
2025-05-07 21:17:57,23.31.46.101,13.204.184.146,TCP,51015,30462,8894,20,75,108,265,BENIGN
2025-05-07 21:17:58,100.66.146.199,104.91.131.52,UDP,38640,12465,7392,68,55,1264,570,BENIGN
2025-05-07 21:17:59,225.189.165.184,28.56.108.141,UDP,3897,22851,4670,49,94,946,1460,BENIGN
2025-05-07 21:18:00,110.165.15.140,105.149.33.148,ICMP,46824,50692,1749,79,11,54,1194,BruteForce
2025-05-07 21:18:01,18.77.4.126,44.87.227.92,TCP,52801,57868,3746,73,13,960,1229,BENIGN
2025-05-07 21:18:02,45.209.172.174,94.187.250.134,ICMP,37669,58908,6260,80,22,806,1004,BENIGN
2025-05-07 21:18:03,134.223.251.70,71.106.154.196,ICMP,4906,4509,2657,39,64,1086,827,BENIGN
2025-05-07 21:18:04,186.245.158.38,203.177.205.108,UDP,16281,5796,2217,9,37,1184,115,BENIGN
2025-05-07 21:18:05,119.84.161.247,96.8.144.204,ICMP,8949,33307,9809,96,56,1159,629,BENIGN
2025-05-07 21:18:06,127.51.167.70,30.81.121.203,TCP,25041,35666,6595,87,64,296,790,BENIGN
2025-05-07 21:18:07,144.9.182.24,255.211.102.164,ICMP,7422,4260,2208,88,77,1056,772,BENIGN
2025-05-07 21:18:08,43.107.200.185,91.105.227.116,ICMP,11642,14640,3239,59,65,149,978,BENIGN
2025-05-07 21:18:09,24.176.66.231,200.38.203.231,ICMP,10061,4276,1835,20,99,91,87,BENIGN
2025-05-07 21:18:10,235.54.251.75,20.210.180.198,TCP,41207,44742,8148,23,24,147,1191,DDoS
2025-05-07 21:18:11,134.202.36.184,124.238.170.22,UDP,52134,11476,5370,27,12,1436,1108,BENIGN
2025-05-07 21:18:12,59.134.243.204,150.97.152.31,TCP,17582,28073,2596,88,64,46,722,BENIGN
2025-05-07 21:18:13,239.27.160.134,111.227.209.198,TCP,42077,30698,2622,93,49,1430,1433,BENIGN
2025-05-07 21:18:14,31.199.208.101,27.223.130.79,UDP,55359,10901,3911,53,33,1382,1358,BENIGN
2025-05-07 21:18:15,12.97.69.92,95.51.166.253,TCP,59035,59301,6467,61,79,147,753,BENIGN
2025-05-07 21:18:16,101.251.120.112,32.157.47.188,ICMP,37383,9819,719,36,67,1204,777,BENIGN
2025-05-07 21:18:17,69.200.50.142,18.235.109.124,UDP,44186,2749,2123,18,1,517,1293,BENIGN
2025-05-07 21:18:18,225.209.243.14,246.167.38.187,TCP,1526,3842,4779,20,19,151,1369,BENIGN
2025-05-07 21:18:19,43.135.85.173,45.233.64.123,ICMP,8011,51465,7095,14,3,1198,1264,BENIGN
2025-05-07 21:18:20,3.226.156.230,192.89.122.76,ICMP,5267,30408,4393,47,65,850,236,BENIGN
2025-05-07 21:18:21,119.13.91.247,146.186.11.119,TCP,14670,3800,5508,58,40,930,56,DoS
2025-05-07 21:18:22,50.106.153.213,123.241.75.227,UDP,46532,18183,6195,73,17,1383,672,DoS
2025-05-07 21:18:23,49.223.57.52,111.99.115.135,ICMP,40864,15183,9655,19,15,271,217,BENIGN
2025-05-07 21:18:24,10.205.229.205,124.33.87.47,ICMP,34656,18842,2787,73,21,1119,1138,BENIGN
2025-05-07 21:18:25,61.255.87.231,118.196.253.5,TCP,51904,7147,1132,54,69,818,1319,BruteForce
2025-05-07 21:18:26,5.198.236.95,180.118.149.117,TCP,16976,15959,93,64,18,1363,289,DoS
2025-05-07 21:18:27,59.5.102.177,175.146.123.131,ICMP,6901,8077,7558,17,61,1271,326,BENIGN
2025-05-07 21:18:28,220.4.94.215,113.115.202.223,UDP,60925,59404,2916,23,30,1353,1164,BENIGN
2025-05-07 21:18:29,186.130.166.77,85.222.215.77,ICMP,4728,4548,1546,10,43,191,1295,BENIGN
2025-05-07 21:18:30,176.141.205.147,230.70.227.117,UDP,7834,22330,5246,52,65,465,750,DoS
2025-05-07 21:18:31,129.127.235.132,152.155.34.85,TCP,26255,22493,719,91,27,857,376,BENIGN
2025-05-07 21:18:32,68.224.38.104,21.121.111.221,TCP,14591,9015,4580,74,12,1013,306,BENIGN
2025-05-07 21:18:33,198.76.130.211,235.80.103.215,TCP,63713,29394,5048,39,60,1124,1004,BENIGN
2025-05-07 21:18:34,250.92.109.240,175.142.26.214,TCP,39484,57552,1344,2,37,1028,951,BENIGN
2025-05-07 21:18:35,27.155.203.52,161.33.224.220,ICMP,53195,49007,8802,63,41,1446,496,BENIGN
2025-05-07 21:18:36,165.120.160.201,234.245.255.58,TCP,43298,47803,3231,50,18,1386,1269,BENIGN
2025-05-07 21:18:37,74.246.220.195,35.175.120.69,UDP,40900,58205,1691,71,81,1111,1033,BENIGN
2025-05-07 21:18:38,102.36.127.61,184.176.207.5,TCP,522,35722,242,7,49,976,93,BENIGN
2025-05-07 21:18:39,82.159.12.25,146.189.23.239,TCP,29436,39209,7352,36,11,1497,426,PortScan
2025-05-07 21:18:40,75.47.92.227,243.180.167.62,ICMP,40398,12112,57,27,2,714,1344,BENIGN
2025-05-07 21:18:41,144.248.188.246,214.160.145.122,TCP,40647,46551,8147,87,53,762,806,BENIGN
2025-05-07 21:18:42,207.98.232.17,243.75.34.200,TCP,53661,14796,9313,10,50,140,1377,BENIGN
2025-05-07 21:18:43,180.145.34.10,109.134.158.243,ICMP,47111,14928,5595,35,1,930,995,BENIGN
2025-05-07 21:18:44,5.214.14.77,208.199.90.55,UDP,24549,32166,749,37,71,1453,627,BENIGN
2025-05-07 21:18:45,155.128.10.90,122.143.69.94,UDP,62450,17680,4716,28,62,1124,491,BENIGN
2025-05-07 21:18:46,113.103.136.60,103.252.184.108,ICMP,16455,34114,5826,55,55,69,1140,BENIGN
2025-05-07 21:18:47,59.107.78.247,37.37.118.97,ICMP,61721,60795,8549,8,54,986,466,BENIGN
2025-05-07 21:18:48,163.87.3.186,234.196.107.175,UDP,21271,43655,8701,24,78,247,483,BENIGN
2025-05-07 21:18:49,15.194.195.140,86.6.242.108,TCP,63875,35420,7036,20,5,670,277,DoS
2025-05-07 21:18:50,226.61.209.77,133.224.22.135,TCP,16088,52237,2098,68,61,1152,1403,DoS
2025-05-07 21:18:51,155.250.52.217,134.44.176.9,UDP,44279,26619,1535,10,65,412,982,BENIGN
2025-05-07 21:18:52,110.118.240.9,174.4.149.222,UDP,24016,21985,4811,51,37,742,971,BENIGN
2025-05-07 21:18:53,125.10.26.199,186.124.191.18,ICMP,5660,42343,5022,58,50,1073,953,BENIGN
2025-05-07 21:18:54,58.222.49.72,250.145.185.245,TCP,11840,58365,4704,82,21,957,386,BENIGN
2025-05-07 21:18:55,127.9.19.251,94.184.49.248,ICMP,1166,29569,3204,20,27,475,742,BENIGN
2025-05-07 21:18:56,120.100.214.14,82.203.237.204,ICMP,48680,45919,5011,13,48,640,1280,BENIGN
2025-05-07 21:18:57,172.183.28.220,18.232.104.195,UDP,6988,3489,6219,50,40,865,144,BENIGN
2025-05-07 21:18:58,121.3.214.125,51.40.212.222,TCP,19981,56161,7161,87,92,522,315,BENIGN
2025-05-07 21:18:59,27.21.27.145,204.245.213.208,TCP,18453,63479,7645,80,83,1354,1107,DoS
2025-05-07 21:19:00,215.204.231.133,16.103.130.255,TCP,58111,27315,9207,93,98,1012,1055,BENIGN
2025-05-07 21:19:01,202.23.191.60,88.53.52.198,UDP,23488,17703,2162,4,61,610,848,BENIGN
2025-05-07 21:19:02,228.111.129.250,161.30.198.157,UDP,45201,31666,466,89,31,1057,809,BENIGN
2025-05-07 21:19:03,200.70.73.236,152.225.127.210,TCP,31966,8850,5193,70,92,1340,1261,BENIGN
2025-05-07 21:19:04,42.205.60.194,22.214.152.107,TCP,254,10372,5748,40,79,342,102,BENIGN
2025-05-07 21:19:05,111.2.31.243,88.122.148.11,ICMP,6282,20047,3237,19,93,791,300,DDoS
2025-05-07 21:19:06,22.137.209.251,79.45.235.25,TCP,48804,38211,3388,92,8,339,641,BENIGN
