src_ip,dst_ip,protocol,packet_size,label,is_anomaly
54.146.171.226,94.49.202.176,17,136,BruteForce,1
15.199.19.196,155.240.59.154,1,276,DDoS,1
71.12.119.61,11.104.23.60,6,1330,BENIGN,0
199.145.171.73,20.163.18.120,6,1195,BENIGN,0
189.73.212.32,189.142.168.228,6,1147,BENIGN,0
99.222.218.14,6.219.94.64,6,142,BENIGN,0
61.196.166.108,44.26.236.128,17,563,DDoS,1
209.168.196.121,196.74.246.127,1,287,BENIGN,0
217.120.105.110,123.181.59.219,6,622,BENIGN,0
37.129.40.217,197.242.194.172,1,161,BENIGN,0
91.150.186.229,250.96.136.243,1,1051,PortScan,1
159.254.101.129,85.228.219.90,6,1262,BENIGN,0
142.180.185.142,1.1.241.17,6,1039,BENIGN,0
193.228.188.60,145.88.143.30,6,450,BENIGN,0
145.255.77.255,29.7.247.167,17,891,BENIGN,0
90.161.164.175,231.193.48.154,17,706,BENIGN,0
128.67.163.91,48.119.58.70,17,834,BENIGN,0
147.249.84.17,165.90.180.141,1,909,BENIGN,0
53.73.138.76,76.69.82.110,1,786,BENIGN,0
24.230.104.161,225.182.247.192,1,1034,PortScan,1
82.169.192.93,26.155.81.5,1,1219,BENIGN,0
138.13.37.91,85.14.62.165,1,1392,DDoS,1
238.117.5.199,8.46.179.107,17,653,BENIGN,0
46.3.219.129,233.138.148.194,17,385,BENIGN,0
156.181.175.79,178.3.57.126,17,972,BENIGN,0
67.216.240.87,24.247.107.91,6,1422,BENIGN,0
72.0.146.103,19.107.176.160,6,1024,BENIGN,0
229.187.159.75,73.23.66.48,17,771,BENIGN,0
52.81.129.36,147.97.130.121,6,1461,BENIGN,0
131.94.23.71,179.57.58.108,6,420,BENIGN,0
124.207.50.175,251.128.23.137,17,118,BruteForce,1
187.35.69.217,142.220.187.222,17,129,DoS,1
103.119.226.158,189.47.190.127,17,1101,DoS,1
75.89.193.163,248.62.226.198,17,357,BENIGN,0
3.134.227.148,24.245.75.176,6,502,BENIGN,0
24.106.201.21,248.13.102.66,1,582,BENIGN,0
187.252.147.9,160.128.242.165,6,711,BENIGN,0
119.203.65.72,186.255.181.137,17,1248,BENIGN,0
10.100.138.41,240.108.222.47,17,1452,BENIGN,0
92.76.132.221,214.74.144.148,1,470,BENIGN,0
26.78.178.253,118.202.157.89,6,267,BENIGN,0
235.78.84.100,37.102.142.2,1,923,BruteForce,1
201.22.15.145,125.10.13.220,17,663,BENIGN,0
133.26.148.52,152.55.33.74,17,340,BENIGN,0
113.246.195.127,69.54.89.132,17,826,BENIGN,0
65.74.245.78,132.170.76.110,1,243,DoS,1
174.138.58.179,89.106.220.210,1,210,BENIGN,0
16.29.10.99,195.169.60.70,1,989,BENIGN,0
111.132.85.149,106.38.12.159,17,147,DoS,1
94.35.34.54,168.239.116.42,1,848,BENIGN,0
224.91.80.209,226.46.202.231,6,465,PortScan,1
187.1.17.238,182.219.255.204,1,1133,BENIGN,0
62.252.43.123,85.231.109.139,6,351,DoS,1
166.212.203.195,217.67.193.50,1,453,BENIGN,0
226.178.207.81,171.131.125.132,6,1489,PortScan,1
190.111.164.117,119.112.116.229,6,1423,BENIGN,0
168.239.11.234,193.49.152.172,1,629,BENIGN,0
234.67.90.8,175.59.235.21,17,59,BENIGN,0
42.137.206.93,241.63.66.107,1,498,BENIGN,0
162.46.155.166,100.112.28.111,17,1414,BENIGN,0
147.169.167.131,64.123.159.149,6,146,PortScan,1
139.180.138.137,55.220.184.111,6,350,BENIGN,0
53.84.102.207,243.56.63.33,1,99,BruteForce,1
84.100.181.185,142.69.216.48,1,517,BENIGN,0
175.205.179.73,64.248.185.27,6,704,BENIGN,0
182.212.169.184,225.104.83.57,1,139,DoS,1
96.157.252.135,99.241.162.213,17,193,BENIGN,0
213.31.192.207,146.194.170.156,6,47,DoS,1
10.10.154.34,59.24.74.175,6,456,BENIGN,0
230.102.24.239,252.142.98.50,17,1198,BENIGN,0
253.135.61.181,100.125.55.235,17,510,BENIGN,0
206.56.165.145,104.186.134.225,6,164,DDoS,1
213.159.223.167,176.149.239.220,6,235,BENIGN,0
77.173.117.203,185.1.181.79,17,779,BENIGN,0
12.39.91.144,115.164.109.43,6,1495,BENIGN,0
63.250.100.231,49.249.245.111,1,340,BENIGN,0
157.202.10.204,76.203.158.121,17,735,BENIGN,0
236.75.25.213,96.68.216.215,1,453,BENIGN,0
253.172.210.222,66.3.229.165,1,939,BENIGN,0
69.105.146.190,49.77.121.223,17,1057,BENIGN,0
174.240.10.197,220.50.43.36,1,987,BENIGN,0
251.15.3.158,156.207.149.245,6,713,BENIGN,0
207.37.132.223,253.109.214.209,17,1079,BENIGN,0
185.88.180.253,77.139.42.6,1,926,BENIGN,0
100.114.1.145,199.113.142.64,1,1281,BENIGN,0
87.138.247.240,144.230.55.38,17,1336,BENIGN,0
66.119.210.175,140.61.67.13,6,1163,BENIGN,0
79.86.254.71,148.121.2.127,6,1287,BENIGN,0
238.87.67.195,218.96.210.250,1,1202,DoS,1
169.47.23.229,191.86.168.248,6,638,BENIGN,0
91.145.227.187,97.15.115.132,1,1267,BENIGN,0
234.8.198.35,170.141.26.199,6,396,BENIGN,0
233.29.71.77,30.162.13.45,6,400,PortScan,1
155.111.116.116,239.217.93.46,1,181,BENIGN,0
42.205.60.194,22.214.152.107,6,342,BENIGN,0
108.187.179.241,254.92.131.154,17,779,BENIGN,0
162.212.193.163,184.233.173.172,1,943,BENIGN,0
136.127.16.44,131.56.173.113,1,1263,BENIGN,0
111.204.122.201,155.217.244.77,6,1212,BENIGN,0
93.71.158.171,171.116.146.100,6,979,BENIGN,0
30.116.219.135,141.122.3.240,17,478,DDoS,1
3.226.242.61,42.122.159.142,17,193,BruteForce,1
65.178.158.202,148.212.166.127,1,1002,BENIGN,0
170.70.224.231,44.145.14.44,6,1185,BENIGN,0
100.6.244.11,241.135.49.106,17,172,BENIGN,0
176.223.119.32,25.56.231.22,17,621,BENIGN,0
227.56.248.178,98.193.73.118,1,719,PortScan,1
49.173.39.64,239.123.224.71,17,581,BENIGN,0
2.241.17.204,190.70.247.12,1,772,BENIGN,0
204.202.150.68,108.6.208.154,17,163,BENIGN,0
28.96.123.175,52.135.155.54,17,903,BENIGN,0
239.218.64.134,161.160.247.83,1,747,BENIGN,0
7.72.3.94,228.145.120.129,1,871,BENIGN,0
196.72.20.201,140.249.117.62,17,1089,BENIGN,0
