timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,anomaly
2023-01-01 00:00:00.000000,192.168.1.88,10.0.0.1,TCP,27167,80,574,1
2023-01-01 00:00:01.000000,192.168.1.21,10.0.0.39,UDP,26729,8080,479,0
2023-01-01 00:00:02.000000,192.168.1.51,10.0.0.81,UDP,61327,80,597,0
2023-01-01 00:00:03.000000,192.168.1.59,10.0.0.187,TCP,29387,8080,728,0
2023-01-01 00:00:04.000000,192.168.1.167,10.0.0.84,TCP,31744,80,464,0
2023-01-01 00:00:05.000000,192.168.1.183,10.0.0.88,UDP,10996,443,464,0
2023-01-01 00:00:06.000000,192.168.1.41,10.0.0.242,TCP,34375,53,736,0
2023-01-01 00:00:07.000000,192.168.1.39,10.0.0.86,UDP,46511,80,615,0
2023-01-01 00:00:08.000000,192.168.1.141,10.0.0.93,UDP,37169,443,429,0
2023-01-01 00:00:09.000000,192.168.1.192,10.0.0.86,UDP,23436,80,581,0
2023-01-01 00:00:10.000000,192.168.1.11,10.0.0.44,TCP,25102,80,430,0
2023-01-01 00:00:11.000000,192.168.1.238,10.0.0.137,TCP,23604,443,430,0
2023-01-01 00:00:12.000000,192.168.1.147,10.0.0.165,TCP,57259,443,536,0
2023-01-01 00:00:13.000000,192.168.1.139,10.0.0.74,TCP,15879,22,213,0
2023-01-01 00:00:14.000000,192.168.1.77,10.0.0.36,UDP,37193,443,241,0
2023-01-01 00:00:15.000000,192.168.1.127,10.0.0.101,TCP,47428,443,415,0
2023-01-01 00:00:16.000000,192.168.1.46,10.0.0.220,TCP,20593,80,348,0
2023-01-01 00:00:17.000000,192.168.1.45,10.0.0.156,UDP,60562,80,547,0
2023-01-01 00:00:18.000000,192.168.1.1,10.0.0.170,UDP,64494,8080,363,0
2023-01-01 00:00:19.000000,192.168.1.168,10.0.0.171,UDP,55461,80,288,0
2023-01-01 00:00:20.000000,192.168.1.108,10.0.0.213,UDP,49530,443,719,0
2023-01-01 00:00:21.000000,192.168.1.19,10.0.0.216,TCP,26762,80,466,0
2023-01-01 00:00:22.000000,192.168.1.76,10.0.0.170,TCP,7796,22,510,0
2023-01-01 00:00:23.000000,192.168.1.72,10.0.0.252,UDP,25898,22,286,0
2023-01-01 00:00:24.000000,192.168.1.200,10.0.0.104,TCP,20755,80,418,0
2023-01-01 00:00:25.000000,192.168.1.189,10.0.0.66,TCP,11155,80,516,0
2023-01-01 00:00:26.000000,192.168.1.245,10.0.0.55,TCP,1812,443,327,0
2023-01-01 00:00:27.000000,192.168.1.109,10.0.0.200,TCP,55121,80,556,0
2023-01-01 00:00:28.000000,192.168.1.12,10.0.0.176,UDP,17208,80,409,0
2023-01-01 00:00:29.000000,192.168.1.189,10.0.0.91,TCP,31921,22,456,0
2023-01-01 00:00:30.000000,192.168.1.240,10.0.0.22,TCP,3913,80,409,0
